Year,ice_out,JDOY
1917,1917-04-30 11:30:00,120.47916666666667
1918,1918-05-11 09:33:00,131.39791666666667
1919,1919-05-03 14:33:00,123.60625
1920,1920-05-11 10:46:00,132.44861111111112
1921,1921-05-11 06:42:00,131.27916666666667
1922,1922-05-12 13:20:00,132.55555555555554
1923,1923-05-09 02:00:00,129.08333333333334
1924,1924-05-11 15:10:00,132.63194444444446
1925,1925-05-07 18:32:00,127.77222222222223
1926,1926-04-26 16:03:00,116.66875
1927,1927-05-13 05:42:00,133.2375
1928,1928-05-06 16:25:00,127.68402777777777
1929,1929-05-05 15:41:00,125.65347222222222
1930,1930-05-08 19:03:00,128.79375
1931,1931-05-10 09:23:00,130.39097222222222
1932,1932-05-01 10:15:00,122.42708333333333
1933,1933-05-08 19:30:00,128.8125
1934,1934-04-30 14:07:00,120.58819444444444
1935,1935-05-15 13:32:00,135.5638888888889
1936,1936-04-30 12:58:00,121.54027777777777
1937,1937-05-12 20:04:00,132.8361111111111
1938,1938-05-06 20:14:00,126.84305555555555
1939,1939-04-29 13:26:00,119.55972222222222
1940,1940-04-20 15:27:00,111.64375
1941,1941-05-03 01:50:00,123.07638888888889
1942,1942-04-30 13:28:00,120.56111111111112
1943,1943-04-28 19:22:00,118.80694444444444
1944,1944-05-04 14:08:00,125.58888888888889
1945,1945-05-16 09:41:00,136.40347222222223
1946,1946-05-05 16:40:00,125.69444444444444
1947,1947-05-03 17:53:00,123.74513888888889
1948,1948-05-13 11:13:00,134.4673611111111
1949,1949-05-14 12:39:00,134.52708333333334
1950,1950-05-06 16:14:00,126.6763888888889
1951,1951-04-30 17:54:00,120.74583333333334
1952,1952-05-12 17:04:00,133.7111111111111
1953,1953-04-29 15:54:00,119.6625
1954,1954-05-06 18:01:00,126.75069444444445
1955,1955-05-09 14:13:00,129.5923611111111
1956,1956-05-01 23:24:00,122.975
1957,1957-05-05 09:30:00,125.39583333333333
1958,1958-04-29 14:56:00,119.62222222222222
1959,1959-05-08 11:26:00,128.4763888888889
1960,1960-05-02 19:12:00,123.8
1961,1961-05-05 11:31:00,125.4798611111111
1962,1962-05-12 23:23:00,132.97430555555556
1963,1963-05-05 18:25:00,125.76736111111111
1964,1964-05-20 11:41:00,141.48680555555555
1965,1965-05-07 19:01:00,127.7923611111111
1966,1966-05-08 12:11:00,128.5076388888889
1967,1967-05-04 11:55:00,124.49652777777777
1968,1968-05-08 09:26:00,129.39305555555555
1969,1969-04-28 12:28:00,118.51944444444445
1970,1970-05-04 10:37:00,124.44236111111111
1971,1971-05-08 21:31:00,128.89652777777778
1972,1972-05-10 11:56:00,131.49722222222223
1973,1973-05-04 11:59:00,124.49930555555555
1974,1974-05-06 15:44:00,126.65555555555555
1975,1975-05-10 13:49:00,130.57569444444445
1976,1976-05-02 10:51:00,123.45208333333333
1977,1977-05-06 12:46:00,126.53194444444445
1978,1978-04-30 15:18:00,120.6375
1979,1979-04-30 18:16:00,120.7611111111111
1980,1980-04-29 13:16:00,120.55277777777778
1981,1981-04-30 18:44:00,120.78055555555555
1982,1982-05-10 17:36:00,130.73333333333332
1983,1983-04-29 18:37:00,119.77569444444444
1984,1984-05-09 15:33:00,130.64791666666667
1985,1985-05-11 14:36:00,131.60833333333332
1986,1986-05-08 22:50:00,128.95138888888889
1987,1987-05-05 15:11:00,125.63263888888889
1988,1988-04-27 09:15:00,118.38541666666667
1989,1989-05-01 20:14:00,121.84305555555555
1990,1990-04-24 17:19:00,114.72152777777778
1991,1991-05-01 00:04:00,121.00277777777778
1992,1992-05-14 06:26:00,135.26805555555555
1993,1993-04-23 13:01:00,113.5423611111111
1994,1994-04-29 23:01:00,119.95902777777778
1995,1995-04-26 13:22:00,116.55694444444444
1996,1996-05-05 12:32:00,126.52222222222223
1997,1997-04-30 10:28:00,120.43611111111112
1998,1998-04-20 16:54:00,110.70416666666667
1999,1999-04-29 21:47:00,119.90763888888888
2000,2000-05-01 10:47:00,122.44930555555555
2001,2001-05-08 13:00:00,128.54166666666666
2002,2002-05-07 21:27:00,127.89375
2003,2003-04-29 18:22:00,119.76527777777778
2004,2004-04-24 14:16:00,115.59444444444445
2005,2005-04-28 12:01:00,118.50069444444445
2006,2006-05-02 17:29:00,122.72847222222222
2007,2007-04-27 15:47:00,117.65763888888888
2008,2008-05-06 22:53:00,127.95347222222222
2009,2009-05-01 20:41:00,121.86180555555555
2010,2010-04-29 09:06:00,119.37916666666666
2011,2011-05-04 16:24:00,124.68333333333334
2012,2012-04-23 19:39:00,114.81875
2013,2013-05-20 14:41:00,140.61180555555555
2014,2014-04-25 15:48:00,115.65833333333333
2015,2015-04-24 14:25:00,114.60069444444444
2016,2016-04-23 15:39:00,114.65208333333334
