temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,temp13,temp14,temp15,temp40,temp41,temp42,temp43,temp44,temp45,temp46,temp47,temp48,temp49,temp50,temp51,temp52,temp53,Year,iceout,wind1,wind2,wind3,wind4,wind5,wind6,wind7,wind8,wind9,wind10,wind11,wind12,wind13,wind14,wind15,wind40,wind41,wind42,wind43,wind44,wind45,wind46,wind47,wind48,wind49,wind50,wind51,wind52,wind53
1,0,-26,-21,-2,-6,16,7,4,16,17,19,22,29,33.5,,36.5,30,26,26,-12,-14,-16,3,0,0,-14,11,,1976,123.4520833,0,5,6.5,0,3,1,6,0,5,0,10,7,,,,,5,7,4,6,4,2,3,6,4,,6,4.5,
-6,16,8,-1,8,2,-1,18,8,-4,-3,11,3,14,,,42,40,34,22,19,17,34,28,12,0,-8,-6,8,1977,126.5319444,1,6,6.5,1,2,3,2.5,4,4,3,4,4,4,5,,,,,,,,14,9,5,2,5,9.5,0,8
15,-12,12,14,16,-13,-12,16,28,15,19,21,26,32,,34,37,19,24,18,-3,-2,7,-16,-26,-34,-42,18,,1978,120.6375,7,7,6,6,4,4,4,6,7,,,,,,,5,5,7,4,3,2,2.5,7,2,2,2,1,6,
12,-2,13,0,-8,-24,-36,-12,-8,-2,3,5,26,16,,25,28,18,26,16,12,19,4,22,15,14,-6,-2,,1979,120.7611111,9,9,12,4.5,3,4,2,6,6,7,4,4,4,3,,5,6,4,5,3,4,7,7,6,7,4,7,5,
-12,-23,-40,18,4,-5,24,11,4,12,20,-4,28,21,,46,40,40,22,22,24,34,12,11,16,1,-24,-22,,1980,120.5527778,3,2,3,7,5,4,7,3,5,6,3,3,5,4,,5,3,4,4,3,4,5,4,4,5,6,2,2,
1,1,13,36,16,28,13,-16,-12,15,20,32,25,20,30,,33.5,23,34,24,12,14,6,2,5,-8,-36,-30,,1981,120.7805556,1,2,7,7,5,8,3,3,2,5,7,7,4,3,8,,3.5,6,7,7,2,2,3,2,2,4,3,3,
2,1,-2,-2,-4,24,-1,-30,-12,11,12,32,8,-4,,,28,24,32,32,14,8,13,-1,14,0,-6,14,2,1982,130.7333333,,,6,9,5,4,7,2,3,5,4,4,7,3,,,4,3,4,4,3,5,2,2,4,3,2,5,5
17,-41,-16,10,8,15,-4,-16,0,0,-2,10,12,7,,30,24,22,8,0,7,14,4,-4,-18,12,0,-24,,1983,119.7756944,4,1,2,7,7,6,3,2,3,2,4,2,3,3,,2,2,5,5,5,2,4,4,2,2,2,2,6,
-2,2,14,-4,0,-20,-21,-7,-15,0,20,9,6,23,,38,32,33,6,8,10,24,3,11,15,0,-2,6,,1984,130.6479167,3,5.5,3,1.5,,3,1,3,2,3,3,2,4,4,,6,6,2,6,2.5,3,9,1,4,7.5,8,5,2,
-6,20,21,10,9,19,-9,-25,-34,9,20,14,24,6,,42,33,31,24,10,8,-4,-2,9,-18,8,-18,-1,,1985,131.6083333,5,5,6,4,3,4,4,2,1,7,7,3,4,3.5,,5,4,4,5,3,5,2,3,2,1,3,5,4,
22,-2,-2,-4,0,4,29,12,-4,-16,-2,11,14,4,,,38,31,18,-2,-11,-11,2,-2,5,-12,-2,27,,1986,128.9513889,4,4,4,4,4,4,4,4,4,4,4,4,4,5,,,4,4.5,4,3,3,4,5,3,9,2,5,5,
-13,-2,-4,10,18,-6,-2,-10,2,-12,-6,10,2,34,32,,32.5,32,24,20,18,12,16,-10,-16,12,20,22,,1987,125.6326389,6,6,14,14,12,11,11,10,10,10,7,3,5,8,5,,6,4,5,4,3,3,5,7,6,6,7,6,
12,4,-9,5,-10,8,-4,-6,26,29,32,2,6,14,,,32,34,32,34,14,6,8,3,-3,-11,-8,0,4,1988,118.3854167,12,12,10,5,13,15,12,11,9,8,6,4,4,4,,,2,3,4,7,3,3,5,7,3,9,10,11,11
14,0,-16,-52,-50,-15,20,7,11,-8,9,6,11,2.5,,32,21,7,8,11,0,-2,-4,-24,-13,5,18,9,,1989,121.8430556,7,4,11,2,3,34,7,8,5,40,40,40,41,41,,5,4,3,4,3,2,4,4,2,4,6,9,3,
-13,-14,-7,-3,-28,-26,-32,-14,-22,9,-2,16,24,32,,50,46,32,32,6,4,-24,2,-8,-7,6,16,-1,,1990,114.7215278,3,4,5,12,6,44,44,48,52,54,60,61,61,19,,5.5,6,5,4,3,3,4,6,3,3,4,3,3,
-6,-2,-14,2,22,-26,-18,12,-7,15,10,4,10,21,,29,35,28,18,15,10,-16,6,-2,-30,-13,-9,9,,1991,121.0027778,6,6,57,57,50,52,52,9,54,54,5,53,57,69.5,,5,6,3,5,4,9,10,13,27,30,30,32,6,
-7,-8,1,4,-12,-16,-4,4,-4,5,-18,26,24,17,14,,38,26,18,26,19,4,-8,-6,3,0,0,-14,,1992,135.2680556,24,26,28,7,33,36,40,46,48,8,28,28,26,22,22,,4,8,6,4,4,4,4,7,13,14,18,24,
10,23,12,-49,-21,-7,6,12,10,3,12,26,20,32.5,,,20,28,11,12,-4,16,5,2,17,10,-14,-1,-27,1993,113.5423611,43,56,52,6,48,48,46,44,42,42,10,42,43,40,,,4,3,5,6,10,10,11,16,27,20,22,23,42
4,-18,-2,2,16,16,-6,-21,-8,-8,8,-11,20,38,,32.5,43,35,18,16,18,28,0,-18,-2,-6,-7,8,,1994,119.9590278,9,21,21,28,28,29,31,34,34,34,22,23,23,16,,4.5,7,3,3,3,5,6,13,15,15,15,15,21,
16,4,-26,0,-24,-3,14,-12,-18,24,1,-6,-8,26.5,,43,23,20,9,12,13,9,2,-17,-18,-10,-2,-16,,1995,116.5569444,53,53,54,42,42,42,40,3,3,5,3,3,4,6.5,,6,5,4,3,2,7,5,6,4,7,4,47,51,
2,3,-23,-40,-10,-1,-8,6,-12,32,13,5,26,22,,36.5,32,25,13,18,22,-8,0,-12,-22,-9,-6,-4,,1996,126.5222222,4,4,4,1,4,4,4,4,6,7,5,6,7,6,,3,3,4,3,7,3,2,3,3,4,4,3,3,
-16,-44,20,9,-21,8,22,11,22,8,14,12,0,0,,,29,21,8,-5,24,9,7,4,-8,-10,-2,-5,,1997,120.4361111,3,2,8,3,3,4,5,3,6,5,3,4,3,3,,,4,3,2,3,4,4,4,4,3,4,2,3,
5,-20,-8,-12,-17,-3,14,-2,-4,10,11,20,38,27,20,,41,22,22,22,19,14,8,7,2,0,0,13,,1998,110.7041667,0,4,10,2,1,1,7,3,1,4,5,5,10,7,12,,,4,3,,,,,,,,,,
-8,-11,0,-8,-32,-42,-30,6,-6,-13,2,24,18,4,,,30,28,30,24,21,20,2,6,4,0,-16,8,0,1999,119.9076389,7,5,4,6,8,7,4,9,2,1,4,4,7,4.5,,,2,7,4,5,8,10,2,5,6,5,0,7,3
-47,-24,-22,22,10,14,4,4,12,17,12,19,16,23,,34,30,16,10,5,-3,2,6,-12,-14,-14,-11,4,,2000,122.4493056,6.5,4,4,10,4,7,1,2,2,4,6,6,6,5,,6.5,2,4,3,3,3,7,3,0,1,2,4,5,
2,0,14,27,20,5,13,2,8,18,10,8,2,12,,25,28,23,18,18,10,26,22,-4,-1,14,5,16,,2001,128.5416667,5,3,11,11,5,5,8,3,4,9,5,4,7,5,,3.5,5,4,4,6,6,9,10,0,3,6,12,12,
14,4,17,21,-18,0,-1,8,8,16,12,12,22,8.5,,32,40,22,22,2,8,-6,2,1,-7,-24,-18,-13,,2002,127.89375,4,2,8,5,2,3,1,4,11.5,5,12,11,4,5.5,,2,6,6,5,2,2,1,2,1,6,1,2,4,
